crab_year,plotting_year,num_vessels,num_tix,num_locations,sum_DCRB_rev,sum_DCRB_lbs
2009_2010,2010,105,1592,33398,321973752.663,166936032
2010_2011,2011,124,1977,43690,515124882.487,253199838
2011_2012,2012,138,2158,48441,1186207872.951,399738422
2012_2013,2013,120,1558,30581,539614105.462,189292382
2013_2014,2014,101,1305,24717,377066303.572,117728657
2014_2015,2015,109,1335,28840,428938021.48,123095253
2015_2016,2016,114,1117,28180,475180419.711,146674377.9
2016_2017,2017,130,2281,57434,1102273699.0585,353091453.92
2017_2018,2018,139,1872,46440,994793532.528,300088131.03
2018_2019,2019,123,987,28010,621950530.585,184219364.75
